2026-01-26 12:02:38.534 | INFO     | api.middleware.logging_middleware:dispatch:12 - request
2026-01-26 23:21:36.372 | INFO     | api.middleware.logging_middleware:dispatch:12 - request
2026-01-26 23:21:36.384 | INFO     | api.middleware.logging_middleware:dispatch:12 - request
2026-01-26 23:21:36.388 | INFO     | api.middleware.logging_middleware:dispatch:12 - request
2026-01-26 23:21:36.390 | INFO     | api.middleware.logging_middleware:dispatch:12 - request
2026-01-26 23:21:40.611 | INFO     | api.middleware.logging_middleware:dispatch:12 - request
2026-01-26 23:21:47.199 | INFO     | api.middleware.logging_middleware:dispatch:12 - request
2026-01-26 23:21:58.248 | INFO     | api.middleware.logging_middleware:dispatch:12 - request
2026-01-26 23:22:23.964 | INFO     | api.middleware.logging_middleware:dispatch:12 - request
2026-01-26 23:22:26.659 | INFO     | api.middleware.logging_middleware:dispatch:12 - request
2026-01-26 23:22:41.993 | INFO     | api.middleware.logging_middleware:dispatch:12 - request
2026-01-26 23:22:42.001 | INFO     | api.middleware.logging_middleware:dispatch:12 - request
2026-01-26 23:22:42.003 | INFO     | api.middleware.logging_middleware:dispatch:12 - request
2026-01-26 23:22:42.012 | INFO     | api.middleware.logging_middleware:dispatch:12 - request
2026-01-26 23:22:42.012 | INFO     | api.middleware.logging_middleware:dispatch:12 - request
2026-01-26 23:22:42.014 | INFO     | api.middleware.logging_middleware:dispatch:12 - request
2026-01-26 23:22:46.733 | INFO     | api.middleware.logging_middleware:dispatch:12 - request
2026-01-26 23:22:59.894 | INFO     | api.middleware.logging_middleware:dispatch:12 - request
2026-01-26 23:23:08.624 | INFO     | api.middleware.logging_middleware:dispatch:12 - request
2026-01-26 23:23:15.448 | INFO     | api.middleware.logging_middleware:dispatch:12 - request
2026-01-26 23:23:23.011 | INFO     | api.middleware.logging_middleware:dispatch:12 - request
2026-01-26 23:23:23.020 | INFO     | api.middleware.logging_middleware:dispatch:12 - request
2026-01-26 23:23:23.022 | INFO     | api.middleware.logging_middleware:dispatch:12 - request
2026-01-26 23:23:23.030 | INFO     | api.middleware.logging_middleware:dispatch:12 - request
2026-01-26 23:23:23.033 | INFO     | api.middleware.logging_middleware:dispatch:12 - request
2026-01-26 23:23:23.035 | INFO     | api.middleware.logging_middleware:dispatch:12 - request
2026-01-26 23:23:24.172 | INFO     | api.middleware.logging_middleware:dispatch:12 - request
2026-01-26 23:23:33.024 | INFO     | api.middleware.logging_middleware:dispatch:12 - request
2026-01-26 23:23:35.619 | INFO     | api.middleware.logging_middleware:dispatch:12 - request
2026-01-27 01:53:05.434 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:53:05.456 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:53:05.562 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:53:32.540 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:53:44.316 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:53:59.822 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:53:59.841 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:53:59.993 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:53:59.995 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:54:00.000 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:54:00.002 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:54:00.006 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:54:00.008 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:54:09.748 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:54:38.021 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:54:40.708 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:54:40.709 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:54:40.713 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:54:40.715 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:54:40.717 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:54:40.723 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:55:35.781 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:55:50.415 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:55:51.527 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:55:51.530 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:55:51.531 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:55:51.533 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:55:51.534 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:55:51.537 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:56:03.182 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:56:10.629 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:56:13.604 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
2026-01-27 01:56:31.241 | INFO     | api.middleware.logging_middleware:dispatch:21 - request
